day,ideal_coverage_percent,productivity_90_percent,productivity_75_percent
7.958333,0.000137058117323,0.000137058117323,0.000137058117323
8.000000,0.000138949549437,0.000138949549437,0.000138949549437
8.041667,0.00014086708373,0.00014086708373,0.00014086708373
8.083333,0.000142811080418,0.000142811080418,0.000142811080418
8.125000,0.000144781904686,0.000144781904686,0.000144781904686
8.166667,0.000146779926762,0.000146779926762,0.000146779926762
8.208333,0.000148805521982,0.000148805521982,0.000148805521982
8.250000,0.00015085907086,0.00015085907086,0.00015085907086
8.291667,0.000152940959164,0.000152940959164,0.000152940959164
8.333333,0.000155051577983,0.000155051577983,0.000155051577983
8.375000,0.000157191323806,0.000157191323806,0.000157191323806
8.416667,0.000159360598591,0.000159360598591,0.000159360598591
8.458333,0.000161559809844,0.000161559809844,0.000161559809844
8.500000,0.000163789370695,0.000163789370695,0.000163789370695
8.541667,0.000166049699976,0.000166049699976,0.000166049699976
8.583333,0.000168341222297,0.000168341222297,0.000168341222297
8.625000,0.00017066436813,0.00017066436813,0.00017066436813
8.666667,0.000173019573885,0.000173019573885,0.000173019573885
8.708333,0.000175407281996,0.000175407281996,0.000175407281996
8.750000,0.000177827941004,0.000177827941004,0.000177827941004
8.791667,0.000180282005638,0.000180282005638,0.000180282005638
8.833333,0.000182769936902,0.000182769936902,0.000182769936902
8.875000,0.000185292202164,0.000185292202164,0.000185292202164
8.916667,0.000187849275241,0.000187849275241,0.000187849275241
8.958333,0.000190441636487,0.000190441636487,0.000190441636487
9.000000,0.000193069772888,0.000193069772888,0.000193069772888
9.041667,0.000195734178149,0.000195734178149,0.000195734178149
9.083333,0.000198435352787,0.000198435352787,0.000198435352787
9.125000,0.000201173804228,0.000201173804228,0.000201173804228
9.166667,0.000203950046901,0.000203950046901,0.000203950046901
9.208333,0.000206764602331,0.000206764602331,0.000206764602331
9.250000,0.000209617999245,0.000209617999245,0.000209617999245
9.291667,0.000212510773663,0.000212510773663,0.000212510773663
9.333333,0.000215443469003,0.000215443469003,0.000215443469003
9.375000,0.000218416636183,0.000218416636183,0.000218416636183
9.416667,0.000221430833722,0.000221430833722,0.000221430833722
9.458333,0.00022448662785,0.00022448662785,0.00022448662785
9.500000,0.000227584592607,0.000227584592607,0.000227584592607
9.541667,0.000230725309959,0.000230725309959,0.000230725309959
9.583333,0.000233909369899,0.000233909369899,0.000233909369899
9.625000,0.000237137370566,0.000237137370566,0.000237137370566
9.666667,0.000240409918351,0.000240409918351,0.000240409918351
9.708333,0.000243727628014,0.000243727628014,0.000243727628014
9.750000,0.000247091122799,0.000247091122799,0.000247091122799
9.791667,0.00025050103455,0.00025050103455,0.00025050103455
9.833333,0.000253958003832,0.000253958003832,0.000253958003832
9.875000,0.000257462680049,0.000257462680049,0.000257462680049
9.916667,0.000261015721568,0.000261015721568,0.000261015721568
9.958333,0.00026461779584,0.00026461779584,0.00026461779584
10.000000,0.000268269579528,0.000268269579528,0.000268269579528
10.041667,0.000271971758633,0.000271971758633,0.000271971758633
10.083333,0.000275725028622,0.000275725028622,0.000275725028622
10.125000,0.000279530094561,0.000279530094561,0.000279530094561
10.166667,0.000283387671245,0.000283387671245,0.000283387671245
10.208333,0.000287298483335,0.000287298483335,0.000287298483335
10.250000,0.000291263265491,0.000291263265491,0.000291263265491
10.291667,0.000295282762511,0.000295282762511,0.000295282762511
10.333333,0.000299357729472,0.000299357729472,0.000299357729472
10.375000,0.000303488931872,0.000303488931872,0.000303488931872
10.416667,0.000307677145773,0.000307677145773,0.000307677145773
10.458333,0.000311923157945,0.000311923157945,0.000311923157945
10.500000,0.000316227766017,0.000316227766017,0.000316227766017
10.541667,0.000320591778626,0.000320591778626,0.000320591778626
10.583333,0.000325016015567,0.000325016015567,0.000325016015567
10.625000,0.000329501307949,0.000329501307949,0.000329501307949
10.666667,0.000334048498351,0.000334048498351,0.000334048498351
10.708333,0.000338658440979,0.000338658440979,0.000338658440979
10.750000,0.000343332001828,0.000343332001828,0.000343332001828
10.791667,0.000348070058843,0.000348070058843,0.000348070058843
10.833333,0.000352873502085,0.000352873502085,0.000352873502085
10.875000,0.000357743233898,0.000357743233898,0.000357743233898
10.916667,0.00036268016908,0.00036268016908,0.00036268016908
10.958333,0.000367685235051,0.000367685235051,0.000367685235051
11.000000,0.000372759372031,0.000372759372031,0.000372759372031
11.041667,0.000377903533217,0.000377903533217,0.000377903533217
11.083333,0.000383118684956,0.000383118684956,0.000383118684956
11.125000,0.000388405806934,0.000388405806934,0.000388405806934
11.166667,0.000393765892356,0.000393765892356,0.000393765892356
